1,_,是正品,整体,正面
1,_,勾称白嫩,整体,正面
1,_,不错,整体,正面
2,_,不是,整体,负面
2,_,喜欢的,整体,负面
2,颜,_,气味,中性
2,色,明,功效,正面
2,_,显,整体,负面
3,_,挺细腻的,整体,正面
4,_,还行,整体,正面
5,_,不错,整体,正面
6,_,很细腻,整体,正面
6,_,贴合肤色,整体,正面
6,_,亮,整体,正面
6,_,很好,整体,正面
7,_,特别好用,整体,正面
7,_,很喜欢,整体,正面
8,_,好评,整体,正面
9,_,还可以,整体,正面
10,_,不错,整体,正面
11,_,不错,整体,正面
11,_,很清爽,整体,正面
11,_,水润,整体,正面
11,_,很清爽,整体,正面
11,_,水润,整体,正面
12,包装一,般,包装,中性
12,_,还行,整体,正面
13,_,一般般,整体,中性
14,_,不错,整体,正面
15,物流速度,快,物流,正面
15,包装,很不爽,包装,负面
16,_,没以,整体,负面
16,_,好用,整体,负面
17,发货速度,快,物流,正面
18,_,很喜欢,整体,正面
18,_,很好用,整体,正面
19,_,很好,整体,正面
19,_,不错,整体,正面
19,_,给力,整体,正面
19,_,大赞,整体,正面
19,_,喜欢,整体,正面
20,_,自然,整体,正面
20,_,不油腻,整体,正面
21,_,挺好用的,整体,正面
21,_,好评,整体,正面
22,_,很,整体,正面
22,_,比,整体,正面
22,_,..,整体,正面
23,_,很不错,整体,正面
23,_,很贴肤,整体,正面
23,_,细腻,整体,正面
24,_,不错,整体,正面
25,_,优惠,整体,正面
26,_,很好用,整体,正面
26,_,太贵了,整体,正面
26,_,有点干,整体,负面
27,_,真心不错,整体,正面
28,_,较慢,整体,负面
28,_,油腻,整体,正面
28,_,一般,整体,正面
29,_,很好用,整体,正面
29,_,很温和,整体,正面
30,_,还可以,整体,正面
30,_,自然,整体,正面
31,_,非常好,整体,正面
32,_,卸,整体,正面
32,妆,干净,功效,正面
32,_,给个好评,整体,正面
33,_,好用,整体,正面
34,_,快,整体,正面
34,_,很好,整体,正面
34,_,不错,整体,正面
35,_,不合,整体,负面
35,_,有刺激,整体,正面
35,_,痒,整体,正面
35,_,很不舒服,整体,正面
36,快递,很快,物流,正面
37,速度,很快,物流,正面
37,_,很划算,整体,正面
38,_,很水润,整体,正面
38,包装,不错,包装,正面
39,物流,很快,物流,正面
39,快递小哥服务,很好,物流,正面
41,_,水水的,整体,正面
41,_,很好用,整体,正面
41,_,不紧绷了,整体,正面
42,_,般,整体,中性
43,_,挺好用的,整体,正面
43,酒精味,重,气味,负面
44,_,很喜欢,整体,正面
45,_,很好,整体,正面
46,_,还可以,整体,正面
47,_,非常不错,整体,正面
47,_,没有刺鼻,整体,正面
47,味道,很温和,气味,正面
48,_,还行,整体,正面
48,_,不错,整体,正面
49,发货,没有,物流,负面
49,料袋包,太垃圾了,包装,负面
49,_,不值,整体,负面
50,_,有,整体,正面
50,_,淡淡的,整体,正面
50,香味,还不错,气味,正面
51,_,不错,整体,正面
52,_,好用,整体,正面
52,_,显白,整体,正面
52,_,不油腻,整体,正面
53,价格,挺便宜,价格,正面
54,_,不,整体,正面
54,快递速度,快,物流,正面
54,快递小哥,点赞,物流,正面
55,_,很不错,整体,正面
55,_,实惠,整体,正面
56,_,很喜欢,整体,正面
57,_,不怎么好用,整体,负面
58,_,亲肤柔和,整体,正面
58,_,满意,整体,正面
60,_,非常好,整体,正面
60,_,很滑,整体,正面
60,_,很嫩,整体,正面
61,_,好,整体,正面
62,_,好用,整体,负面
62,_,是,整体,负面
62,_,象,整体,负面
63,_,特别合适,整体,正面
64,_,很适合,整体,正面
64,_,不错,整体,正面
65,_,不错,整体,正面
66,物流,很快,物流,正面
66,_,还可以,整体,正面
68,物流,非常快,物流,正面
68,包装,不错,包装,正面
69,快递,是给力,物流,正面
70,_,还可以,整体,正面
71,_,保湿,整体,正面
71,_,滋润,整体,正面
71,_,挺好的,整体,正面
72,包装,很,包装,正面
72,_,一般,整体,负面
73,_,过,整体,负面
73,_,敏,整体,正面
73,_,长红,整体,负面
74,_,不怎么滴,整体,负面
75,_,真心不错,整体,正面
75,活动,非常划算,价格,正面
75,_,有好,整体,正面
75,_,温和,整体,正面
75,_,不刺激,整体,正面
76,_,很好用,整体,正面
77,_,好评,整体,正面
78,价格,便宜,价格,正面
78,性价比,高,价格,正面
78,包装,不错,包装,正面
78,_,还可以,整体,正面
79,包装,很好,包装,正面
79,快递,快,物流,正面
80,_,还不错,整体,正面
80,补水效果,_,功效,中性
81,_,很好用,整体,正面
82,_,不错,整体,正面
82,物流,很快,物流,正面
83,_,行,整体,正面
